	0
LOC109398783	0
LOC109398784	1
LOC109398786	0
LOC109398787	0
LOC109398788	1
LOC109398789	0
LOC109398790	0
LOC109398791	0
LOC109398792	0
LOC109398793	0
LOC109398795	7
LOC109398796	0
LOC109398797	11
LOC109398798	0
LOC109398799	0
LOC109398800	0
LOC109398801	1
LOC109398802	0
LOC109398804	0
LOC109398807	0
LOC109398809	0
LOC109398811	0
LOC109398812	0
LOC109398814	1
LOC109398815	0
LOC109398816	0
LOC109398818	0
LOC109398819	0
LOC109398820	0
LOC109398821	0
LOC109398824	0
LOC109398825	0
LOC109398826	0
LOC109398827	1
LOC109398829	0
LOC109398830	0
LOC109398831	0
LOC109398832	0
LOC109398833	8
LOC109398834	0
LOC109398837	1
LOC109398839	0
LOC109398841	0
LOC109398842	0
LOC109398843	0
LOC109398846	4
LOC109398849	0
LOC109398850	0
LOC109398852	42
LOC109398858	0
LOC109398859	0
LOC109398862	0
LOC109398863	0
LOC109398864	1
LOC109398865	0
LOC109398866	0
LOC109398867	0
LOC109398868	0
LOC109398869	0
LOC109398870	0
LOC109398873	0
LOC109398876	0
LOC109398877	0
LOC109398879	1
LOC109398881	0
LOC109398883	1
LOC109398884	1
LOC109398885	0
LOC109398886	0
LOC109398887	0
LOC109398891	0
LOC109398893	1
LOC109398894	0
LOC109398896	0
LOC109398898	0
LOC109398900	0
LOC109398901	0
LOC109398902	0
LOC109398904	0
LOC109398906	0
LOC109398907	0
LOC109398911	0
LOC109398913	1
LOC109398914	0
LOC109398915	0
LOC109398916	4
LOC109398917	0
LOC109398921	10
LOC109398922	0
LOC109398923	0
LOC109398924	0
LOC109398927	0
LOC109398931	0
LOC109398935	0
LOC109398936	0
LOC109398937	1
LOC109398938	0
LOC109398940	0
LOC109398941	0
LOC109398943	0
LOC109398944	0
LOC109398945	0
LOC109398946	0
LOC109398950	0
LOC109398951	0
LOC109398954	0
LOC109398955	0
LOC109398956	0
LOC109398961	0
LOC109398962	0
LOC109398969	0
LOC109398973	0
LOC109398974	0
LOC109398975	10
LOC109398978	0
LOC109398979	0
LOC109398980	0
LOC109398981	0
LOC109398982	0
LOC109398983	0
LOC109398985	0
LOC109398987	0
LOC109398988	0
LOC109398989	1
LOC109398993	1
LOC109398994	0
LOC109398996	0
LOC109398999	0
LOC109399005	0
LOC109399006	1
LOC109399007	0
LOC109399008	0
LOC109399009	0
LOC109399010	2
LOC109399011	0
LOC109399012	0
LOC109399023	0
LOC109399024	0
LOC109399029	0
LOC109399031	0
LOC109399032	0
LOC109399034	0
LOC109399035	0
LOC109399038	0
LOC109399041	0
LOC109399042	0
LOC109399044	0
LOC109399045	0
LOC109399050	0
LOC109399051	0
LOC109399052	1
LOC109399056	0
LOC109399059	0
LOC109399060	0
LOC109399072	0
LOC109399073	0
LOC109399074	1
LOC109399075	0
LOC109399080	0
LOC109399083	0
LOC109399084	15
LOC109399088	2
LOC109399090	7
LOC109399093	23
LOC109399094	9
LOC109399095	1
LOC109399098	2
LOC109399100	0
LOC109399101	2
LOC109399102	8
LOC109399103	7
LOC109399104	0
LOC109399105	8
LOC109399108	5
LOC109399110	0
LOC109399111	0
LOC109399115	0
LOC109399117	1
LOC109399121	0
LOC109399127	0
LOC109399132	1
LOC109399133	0
LOC109399134	0
LOC109399137	0
LOC109399139	0
LOC109399154	4
LOC109399160	0
LOC109399161	0
LOC109399162	0
LOC109399163	0
LOC109399166	0
LOC109399175	0
LOC109399176	0
LOC109399186	1
LOC109399189	0
LOC109399190	0
LOC109399191	0
LOC109399194	0
LOC109399195	0
LOC109399201	0
LOC109399203	0
LOC109399205	0
LOC109399207	1
LOC109399208	1
LOC109399209	1
LOC109399210	0
LOC109399211	0
LOC109399212	0
LOC109399217	2
LOC109399220	0
LOC109399223	0
LOC109399226	0
LOC109399228	0
LOC109399229	5
LOC109399230	0
LOC109399231	90
LOC109399232	0
LOC109399235	2
LOC109399236	2
LOC109399239	2
LOC109399241	0
LOC109399245	0
LOC109399247	1
LOC109399249	171
LOC109399253	9
LOC109399254	2
LOC109399255	0
LOC109399258	0
LOC109399259	0
LOC109399260	0
LOC109399262	0
LOC109399265	0
LOC109399266	1
LOC109399267	0
LOC109399271	0
LOC109399273	2
LOC109399276	0
LOC109399279	0
LOC109399280	0
LOC109399282	0
LOC109399283	0
LOC109399284	0
LOC109399285	0
LOC109399286	7
LOC109399288	0
LOC109399289	0
LOC109399298	0
LOC109399299	0
LOC109399302	0
LOC109399303	0
LOC109399304	2
LOC109399307	0
LOC109399308	0
LOC109399309	33
LOC109399310	2
LOC109399311	1
LOC109399314	0
LOC109399315	0
LOC109399318	0
LOC109399319	0
LOC109399321	0
LOC109399324	0
LOC109399328	0
LOC109399329	0
LOC109399330	0
LOC109399333	0
LOC109399334	0
LOC109399335	0
LOC109399337	0
LOC109399339	0
LOC109399341	0
LOC109399344	28
LOC109399345	0
LOC109399346	6
LOC109399347	0
LOC109399348	0
LOC109399349	0
LOC109399352	0
LOC109399353	1
LOC109399354	1
LOC109399355	0
LOC109399358	0
LOC109399361	0
LOC109399363	0
LOC109399366	0
LOC109399368	0
LOC109399369	0
LOC109399371	0
LOC109399373	0
LOC109399375	0
LOC109399376	0
LOC109399379	0
LOC109399383	0
LOC109399386	0
LOC109399390	0
LOC109399392	0
LOC109399397	0
LOC109399400	0
LOC109399403	0
LOC109399404	1
LOC109399405	0
LOC109399406	0
LOC109399407	0
LOC109399408	0
LOC109399409	0
LOC109399411	1
LOC109399412	2
LOC109399413	0
LOC109399415	1
LOC109399416	0
LOC109399417	0
LOC109399418	22
LOC109399419	0
LOC109399422	0
LOC109399426	5
LOC109399427	0
LOC109399430	0
LOC109399431	0
LOC109399434	0
LOC109399435	0
LOC109399436	0
LOC109399437	0
LOC109399439	0
LOC109399440	0
LOC109399441	0
LOC109399442	0
LOC109399443	0
LOC109399444	0
LOC109399448	0
LOC109399450	0
LOC109399451	0
LOC109399452	0
LOC109399453	1
LOC109399457	0
LOC109399459	0
LOC109399461	0
LOC109399465	0
LOC109399466	0
LOC109399467	0
LOC109399470	1
LOC109399471	0
LOC109399472	7
LOC109399473	0
LOC109399474	0
LOC109399475	3
LOC109399476	12
LOC109399478	0
LOC109399481	0
LOC109399484	0
LOC109399485	0
LOC109399486	0
LOC109399487	0
LOC109399490	0
LOC109399491	0
LOC109399492	0
LOC109399493	0
LOC109399494	1
LOC109399495	0
LOC109399497	0
LOC109399502	0
LOC109399503	0
LOC109399504	0
LOC109399506	0
LOC109399509	1
LOC109399510	0
LOC109399511	0
LOC109399512	0
LOC109399513	0
LOC109399514	0
LOC109399515	1
LOC109399516	3
LOC109399517	1
LOC109399518	0
LOC109399519	0
LOC109399521	0
LOC109399522	0
LOC109399525	0
LOC109399526	0
LOC109399530	0
LOC109399531	1
LOC109399532	0
LOC109399533	0
LOC109399534	1
LOC109399541	1
LOC109399546	0
LOC109399548	1
LOC109399550	0
LOC109399551	0
LOC109399552	0
LOC109399554	0
LOC109399555	0
LOC109399559	0
LOC109399560	0
LOC109399561	0
LOC109399563	0
LOC109399564	1
LOC109399565	0
LOC109399566	0
LOC109399568	0
LOC109399570	0
LOC109399572	1
LOC109399573	0
LOC109399576	0
LOC109399577	0
LOC109399579	0
LOC109399581	0
LOC109399582	0
LOC109399584	0
LOC109399585	12
LOC109399586	0
LOC109399588	0
LOC109399590	1
LOC109399591	0
LOC109399594	1
LOC109399598	4
LOC109399599	0
LOC109399600	0
LOC109399607	0
LOC109399609	0
LOC109399612	0
LOC109399614	0
LOC109399616	0
LOC109399617	0
LOC109399618	2
LOC109399620	2
LOC109399621	0
LOC109399622	0
LOC109399623	0
LOC109399624	0
LOC109399625	0
LOC109399628	0
LOC109399629	0
LOC109399633	0
LOC109399634	0
LOC109399644	0
LOC109399646	2
LOC109399647	0
LOC109399650	0
LOC109399656	0
LOC109399657	1
LOC109399658	4
LOC109399659	2
LOC109399660	0
LOC109399661	0
LOC109399662	2
LOC109399664	2
LOC109399665	7
LOC109399666	0
LOC109399667	0
LOC109399669	0
LOC109399670	0
LOC109399671	9
LOC109399674	0
LOC109399676	0
LOC109399677	0
LOC109399682	0
LOC109399686	2
LOC109399688	0
LOC109399689	0
LOC109399690	0
LOC109399696	0
LOC109399701	0
LOC109399702	0
LOC109399704	0
LOC109399705	0
LOC109399710	11
LOC109399713	0
LOC109399717	0
LOC109399718	0
LOC109399720	0
LOC109399726	0
LOC109399730	3
LOC109399736	0
LOC109399738	0
LOC109399740	0
LOC109399741	0
LOC109399742	0
LOC109399745	0
LOC109399746	0
LOC109399749	0
LOC109399757	0
LOC109399758	0
LOC109399759	0
LOC109399760	0
LOC109399761	0
LOC109399785	0
LOC109399787	0
LOC109399792	0
LOC109399793	0
LOC109399794	5
LOC109399798	0
LOC109399800	0
LOC109399803	0
LOC109399822	0
LOC109399823	0
LOC109399824	0
LOC109399825	0
LOC109399827	0
LOC109399828	0
LOC109399829	0
LOC109399837	0
LOC109399838	0
LOC109399839	0
LOC109399840	1
LOC109399841	0
LOC109399842	0
LOC109399844	0
LOC109399845	0
LOC109399849	0
LOC109399851	0
LOC109399852	0
LOC109399854	0
LOC109399855	1
LOC109399856	0
LOC109399857	0
LOC109399858	12
LOC109399863	0
LOC109399864	0
LOC109399865	0
LOC109399867	0
LOC109399871	0
LOC109399873	0
LOC109399874	0
LOC109399876	0
LOC109399877	0
LOC109399878	0
LOC109399879	0
LOC109399881	0
LOC109399894	0
LOC109399928	0
LOC109399929	0
LOC109399931	0
LOC109399932	1
LOC109399934	1
LOC109399937	0
LOC109399938	1
LOC109399939	1
LOC109399942	0
LOC109399943	1
LOC109399944	0
LOC109399946	5
LOC109399948	0
LOC109399950	0
LOC109399951	5
LOC109399952	8
LOC109399953	0
LOC109399954	2
LOC109399955	0
LOC109399958	192
LOC109399959	0
LOC109399960	0
LOC109399962	0
LOC109399963	0
LOC109399964	0
LOC109399965	0
LOC109399968	0
LOC109399984	0
LOC109399985	0
LOC109399987	0
LOC109399988	0
LOC109399989	0
LOC109399995	0
LOC109399998	0
LOC109399999	0
LOC109400000	0
LOC109400001	0
LOC109400003	0
LOC109400004	0
LOC109400007	1
LOC109400008	0
LOC109400009	1
LOC109400018	0
LOC109400021	0
LOC109400027	0
LOC109400028	0
LOC109400032	0
LOC109400036	0
LOC109400039	1
LOC109400042	8
LOC109400044	0
LOC109400045	0
LOC109400046	0
LOC109400047	0
LOC109400048	0
LOC109400049	0
LOC109400052	0
LOC109400053	0
LOC109400054	0
LOC109400055	0
LOC109400056	0
LOC109400058	0
LOC109400059	0
LOC109400063	0
LOC109400064	0
LOC109400065	0
LOC109400069	1
LOC109400070	0
LOC109400071	5
LOC109400072	0
LOC109400073	0
LOC109400074	0
LOC109400075	0
LOC109400078	0
LOC109400079	1
LOC109400080	0
LOC109400082	1
LOC109400083	0
LOC109400084	0
LOC109400085	0
LOC109400086	8
LOC109400088	0
LOC109400090	0
LOC109400091	0
LOC109400092	0
LOC109400093	0
LOC109400094	0
LOC109400096	0
LOC109400097	0
LOC109400098	0
LOC109400099	0
LOC109400102	0
LOC109400103	0
LOC109400107	0
LOC109400108	0
LOC109400109	0
LOC109400110	0
LOC109400111	0
LOC109400112	0
LOC109400113	0
LOC109400116	0
LOC109400120	0
LOC109400123	0
LOC109400124	1
LOC109400125	0
LOC109400126	0
LOC109400127	1
LOC109400128	1
LOC109400129	0
LOC109400131	0
LOC109400132	0
LOC109400134	0
LOC109400136	0
LOC109400137	0
LOC109400138	0
LOC109400140	0
LOC109400141	0
LOC109400144	0
LOC109400145	0
